"x"
"4800 W. Copans Road, Coconut Creek, FL 33063"
"9551 W. Sample Road, Coral Springs, FL 33065 "
"100 W. Dania Beach Blvd., Dania Beach, FL 33004 "
"6591 Orange Drive, Davie, FL 33314 "
"100 N. Andrews Ave., Fort Lauderdale, FL 33301 "
"400 S. Federal Highway, Hallandale Beach, FL 33009 "
"1210 Hillsboro Mile, Hillsboro Beach, FL 33062 "
"5581 W. Oakland Park Blvd., Lauderhill, FL 33313 "
"2250 Lazy Lane, Lazy Lake, FL 33305 "
"5790 Margate Blvd., Margate, FL 33063 "
"2300 Civic Center Place, Miramar, FL 33025 "
"10100 Pines Blvd., Pembroke Pines, FL 33026 "
"100 W. Atlantic Blvd., Pompano Beach, FL 33060 "
"1 Gatehouse Road, Sea Ranch Lakes, FL 33308"
"10770 W. Oakland Park Blvd., Sunrise, FL 33351 "
"17200 Royal Palm Blvd., Weston, FL 33326 "
"Wilton Drive, Wilton Manors, FL 33305 "
